conteo,tupla,X,L,M,T,P,Pr
1,12|33|39,187,206,206|168,206|168,0.0002666666666666667,0.4445222222222222
1,12|33|43,187,321,321|53,321|53,0.0002666666666666667,0.4445222222222222
1,12|34|40,187,342,342|32,342|32,0.0002666666666666667,0.4445222222222222
1,12|34|43,187,21,21|353,21|353,0.0002666666666666667,0.4445222222222222
1,12|38|40,187,148,148|226,148|226,0.0002666666666666667,0.4445222222222222
1,12|39|41,187,46,46|328,46|328,0.0002666666666666667,0.4445222222222222
1,12|41|43,187,338,338|36,338|36,0.0002666666666666667,0.4445222222222222
1,13|14|17,187,316,316|58,316|58,0.0002666666666666667,0.4445222222222222
1,13|14|23,187,210,210|164,210|164,0.0002666666666666667,0.4445222222222222
1,13|14|30,187,184,184|190,184|190,0.0002666666666666667,0.4445222222222222
1,13|14|31,187,165,165|209,165|209,0.0002666666666666667,0.4445222222222222
2,13|14|34,124,184,184|132|58,184|132|58,0.0005333333333333334,0.44461111111111107
1,13|14|35,187,165,165|209,165|209,0.0002666666666666667,0.4445222222222222
1,13|14|37,187,189,189|185,189|185,0.0002666666666666667,0.4445222222222222
1,13|14|42,187,210,210|164,210|164,0.0002666666666666667,0.4445222222222222
1,13|15|16,187,352,352|22,352|22,0.0002666666666666667,0.4445222222222222
1,13|15|24,187,243,243|131,243|131,0.0002666666666666667,0.4445222222222222
1,13|15|29,187,243,243|131,243|131,0.0002666666666666667,0.4445222222222222
1,13|15|30,187,243,243|131,243|131,0.0002666666666666667,0.4445222222222222
1,13|15|31,187,352,352|22,352|22,0.0002666666666666667,0.4445222222222222
1,13|15|37,187,352,352|22,352|22,0.0002666666666666667,0.4445222222222222
1,13|16|17,187,153,153|221,153|221,0.0002666666666666667,0.4445222222222222
1,13|16|18,187,2,2|372,2|372,0.0002666666666666667,0.4445222222222222
1,13|16|20,187,361,361|13,361|13,0.0002666666666666667,0.4445222222222222
1,13|16|22,187,153,153|221,153|221,0.0002666666666666667,0.4445222222222222
1,13|16|24,187,326,326|48,326|48,0.0002666666666666667,0.4445222222222222
1,13|16|25,187,153,153|221,153|221,0.0002666666666666667,0.4445222222222222
2,13|16|26,124,84,84|277|13,84|277|13,0.0005333333333333334,0.44461111111111107
1,13|16|31,187,352,352|22,352|22,0.0002666666666666667,0.4445222222222222
1,13|16|35,187,326,326|48,326|48,0.0002666666666666667,0.4445222222222222
1,13|16|36,187,326,326|48,326|48,0.0002666666666666667,0.4445222222222222
1,13|16|37,187,352,352|22,352|22,0.0002666666666666667,0.4445222222222222
2,13|17|22,124,153,153|206|15,153|206|15,0.0005333333333333334,0.44461111111111107
2,13|17|25,124,153,153|146|75,153|146|75,0.0005333333333333334,0.44461111111111107
1,13|17|30,187,337,337|37,337|37,0.0002666666666666667,0.4445222222222222
2,13|17|34,124,316,316|21|37,316|21|37,0.0005333333333333334,0.44461111111111107
1,13|17|38,187,299,299|75,299|75,0.0002666666666666667,0.4445222222222222
1,13|17|40,187,359,359|15,359|15,0.0002666666666666667,0.4445222222222222
1,13|17|43,187,337,337|37,337|37,0.0002666666666666667,0.4445222222222222
1,13|18|19,187,23,23|351,23|351,0.0002666666666666667,0.4445222222222222
1,13|18|21,187,186,186|188,186|188,0.0002666666666666667,0.4445222222222222
1,13|18|29,187,89,89|285,89|285,0.0002666666666666667,0.4445222222222222
3,13|18|37,93,23,23|66|97|188,23|66|97|188,0.0008,0.44469999999999993
1,13|19|27,187,166,166|208,166|208,0.0002666666666666667,0.4445222222222222
1,13|19|28,187,160,160|214,160|214,0.0002666666666666667,0.4445222222222222
1,13|19|37,187,23,23|351,23|351,0.0002666666666666667,0.4445222222222222
1,13|19|39,187,160,160|214,160|214,0.0002666666666666667,0.4445222222222222
1,13|19|42,187,160,160|214,160|214,0.0002666666666666667,0.4445222222222222
1,13|20|22,187,249,249|125,249|125,0.0002666666666666667,0.4445222222222222
2,13|20|26,124,281,281|80|13,281|80|13,0.0005333333333333334,0.44461111111111107
1,13|20|31,187,366,366|8,366|8,0.0002666666666666667,0.4445222222222222
1,13|20|32,187,249,249|125,249|125,0.0002666666666666667,0.4445222222222222
1,13|20|33,187,366,366|8,366|8,0.0002666666666666667,0.4445222222222222
1,13|20|36,187,281,281|93,281|93,0.0002666666666666667,0.4445222222222222
1,13|20|40,187,281,281|93,281|93,0.0002666666666666667,0.4445222222222222
1,13|21|22,187,96,96|278,96|278,0.0002666666666666667,0.4445222222222222
1,13|21|24,187,96,96|278,96|278,0.0002666666666666667,0.4445222222222222
1,13|21|32,187,96,96|278,96|278,0.0002666666666666667,0.4445222222222222
1,13|21|34,187,196,196|178,196|178,0.0002666666666666667,0.4445222222222222
1,13|21|37,187,186,186|188,186|188,0.0002666666666666667,0.4445222222222222
1,13|21|43,187,196,196|178,196|178,0.0002666666666666667,0.4445222222222222
1,13|22|23,187,246,246|128,246|128,0.0002666666666666667,0.4445222222222222
1,13|22|24,187,96,96|278,96|278,0.0002666666666666667,0.4445222222222222
1,13|22|25,187,153,153|221,153|221,0.0002666666666666667,0.4445222222222222
2,13|22|32,124,96,96|153|125,96|153|125,0.0005333333333333334,0.44461111111111107
1,13|22|36,187,26,26|348,26|348,0.0002666666666666667,0.4445222222222222
1,13|22|37,187,26,26|348,26|348,0.0002666666666666667,0.4445222222222222
1,13|22|40,187,359,359|15,359|15,0.0002666666666666667,0.4445222222222222
1,13|23|42,187,210,210|164,210|164,0.0002666666666666667,0.4445222222222222
1,13|24|29,187,243,243|131,243|131,0.0002666666666666667,0.4445222222222222
1,13|24|30,187,243,243|131,243|131,0.0002666666666666667,0.4445222222222222
2,13|24|32,124,15,15|81|278,15|81|278,0.0005333333333333334,0.44461111111111107
1,13|24|35,187,326,326|48,326|48,0.0002666666666666667,0.4445222222222222
1,13|24|36,187,326,326|48,326|48,0.0002666666666666667,0.4445222222222222
1,13|25|38,187,299,299|75,299|75,0.0002666666666666667,0.4445222222222222
1,13|26|33,187,158,158|216,158|216,0.0002666666666666667,0.4445222222222222
1,13|26|35,187,158,158|216,158|216,0.0002666666666666667,0.4445222222222222
1,13|26|36,187,281,281|93,281|93,0.0002666666666666667,0.4445222222222222
2,13|26|40,124,158,158|123|93,158|123|93,0.0005333333333333334,0.44461111111111107
2,13|27|41,124,51,51|53|270,51|53|270,0.0005333333333333334,0.44461111111111107
1,13|28|31,187,256,256|118,256|118,0.0002666666666666667,0.4445222222222222
1,13|28|34,187,170,170|204,170|204,0.0002666666666666667,0.4445222222222222
1,13|28|35,187,256,256|118,256|118,0.0002666666666666667,0.4445222222222222
1,13|28|39,187,160,160|214,160|214,0.0002666666666666667,0.4445222222222222
1,13|28|40,187,170,170|204,170|204,0.0002666666666666667,0.4445222222222222
1,13|28|42,187,160,160|214,160|214,0.0002666666666666667,0.4445222222222222
1,13|28|43,187,256,256|118,256|118,0.0002666666666666667,0.4445222222222222
1,13|29|30,187,243,243|131,243|131,0.0002666666666666667,0.4445222222222222
1,13|29|37,187,89,89|285,89|285,0.0002666666666666667,0.4445222222222222
2,13|30|34,124,184,184|153|37,184|153|37,0.0005333333333333334,0.44461111111111107
1,13|30|43,187,337,337|37,337|37,0.0002666666666666667,0.4445222222222222
1,13|31|33,187,366,366|8,366|8,0.0002666666666666667,0.4445222222222222
2,13|31|35,124,165,165|91|118,165|91|118,0.0005333333333333334,0.44461111111111107
1,13|31|37,187,352,352|22,352|22,0.0002666666666666667,0.4445222222222222
1,13|31|43,187,256,256|118,256|118,0.0002666666666666667,0.4445222222222222
1,13|33|35,187,158,158|216,158|216,0.0002666666666666667,0.4445222222222222
1,13|33|40,187,158,158|216,158|216,0.0002666666666666667,0.4445222222222222
