conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
6,25|29,63,79,16,79|2|9|37|213|21|81,79|2|9|37|213|21|81,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
5,5|43,73,89,16,89|27|241|31|14|40,89|27|241|31|14|40,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
3,22|37,110,94,16,94|293|53|2,94|293|53|2,0.0006772009029345372,0.6668924003009781,1.0,1.0,0.0006772009029345372
3,16|30,110,126,16,126|80|150|86,126|80|150|86,0.0006772009029345372,0.6668924003009781,1.0,1.0,0.0006772009029345372
6,26|29,63,79,16,79|9|39|12|15|264|24,79|9|39|12|15|264|24,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
4,24|39,88,104,16,104|32|106|77|123,104|32|106|77|123,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
5,7|34,73,57,16,57|93|38|50|133|71,57|93|38|50|133|71,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
4,1|32,88,104,16,104|41|172|107|18,104|41|172|107|18,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
6,4|33,63,80,17,80|89|106|114|24|21|8,80|89|106|114|24|21|8,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
5,17|23,73,56,17,56|231|10|31|68|46,56|231|10|31|68|46,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
8,41|43,49,32,17,1,32|76|26|134|1|88|49|1|35,0.0018058690744920992,0.6672686230248307,1.0,1.0,0.0018058690744920992
6,2|4,63,80,17,80|31|58|42|64|120|47,80|31|58|42|64|120|47,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
6,15|42,63,46,17,46|11|12|132|115|123|3,46|11|12|132|115|123|3,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
5,5|23,73,56,17,56|2|239|17|60|68,56|2|239|17|60|68,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
4,1|4,88,105,17,105|158|82|29|68,105|158|82|29|68,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
6,4|11,63,80,17,80|7|14|93|10|195|43,80|7|14|93|10|195|43,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
7,10|20,55,38,17,38|37|83|15|171|31|11|56,38|37|83|15|171|31|11|56,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
6,23|25,63,81,18,81|37|9|14|172|16|113,81|37|9|14|172|16|113,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
5,10|19,73,91,18,91|284|11|40|4|12,91|284|11|40|4|12,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
4,13|18,88,70,18,70|21|66|97|188,70|21|66|97|188,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
3,32|38,110,128,18,128|5|293|16,128|5|293|16,0.0006772009029345372,0.6668924003009781,1.0,1.0,0.0006772009029345372
7,16|18,55,37,18,37|33|8|59|69|96|30|110,37|33|8|59|69|96|30|110,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
6,2|30,63,45,18,45|71|116|3|38|63|106,45|71|116|3|38|63|106,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
8,3|29,49,31,18,31|90|97|2|21|41|25|130|5,31|90|97|2|21|41|25|130|5,0.0018058690744920992,0.6672686230248307,1.0,1.0,0.0018058690744920992
