conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
1,3|5|11|29,226,92,134,92|361,92|361,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|5|25|29,226,92,134,92|361,92|361,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|5|25|30,226,39,187,39|414,39|414,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|5|25|42,226,39,187,39|414,39|414,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|5|30|37,226,265,39,265|188,265|188,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|5|30|39,226,265,39,265|188,265|188,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|5|30|42,226,39,187,39|414,39|414,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|5|37|39,226,265,39,265|188,265|188,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|5|7|21,226,65,161,65|388,65|388,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|6|23|25,226,285,59,285|168,285|168,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|6|23|38,226,285,59,285|168,285|168,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|6|25|38,226,285,59,285|168,285|168,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|7|11|19,226,269,43,269|184,269|184,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|7|11|25,226,269,43,269|184,269|184,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|7|11|39,226,279,53,279|174,279|174,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|7|11|41,226,279,53,279|174,279|174,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|7|12|12,226,142,84,142|311,142|311,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
2,3|7|12|40,226,142,84,142|311,142|311,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
1,3|7|14|19,226,261,35,261|192,261|192,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|7|14|22,226,261,35,261|192,261|192,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
